Component,Use case,Source,Threat,Risk Response,Inherent Risk,Current Risk,Countermeasure progress,Weakness tests,Countermeasure tests,Projected Risk,Owner,MITRE reference,STRIDE-LM
Authentication,Tampering,Created by Rules Engine,Attackers capitalize on security misconfigurations,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1569.002 - Service Execution||ATT&CK Enterprise - T1552 - Unsecured Credentials||ATT&CK Enterprise - T1190 - Exploit Public-Facing Application||ATT&CK Enterprise - T1082 - System Information Discovery||ATT&CK Enterprise - T1068 - Exploitation for Privilege Escalation||ATT&CK Enterprise - T1021 - Remote Services,Tampering
Database,Denial of Service,Created by Rules Engine,Attackers cause denial of service through resource exhaustion,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1499 - Endpoint Denial of Service,Denial of Service
Encryption,Tampering,Created by Rules Engine,Attackers execute Injection Attacks,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1505 - Server Software Component,Elevation of Privilege||Tampering
Backend,Tampering,Created by Rules Engine,Attackers execute Injection Attacks,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1505 - Server Software Component,Elevation of Privilege||Tampering
Database,Information Disclosure,Created by Rules Engine,Attackers exfiltrate data due to insecure backup procedures,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,sohaib  khan,ATT&CK Enterprise - T1173 - Dynamic Data Exchange,Information Disclosure
Authentication,Elevation of Privilege,Created by Rules Engine,Attackers exploit flaws in access control systems,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,sohaib  khan,ATT&CK Enterprise - T1552 - Unsecured Credentials||ATT&CK Enterprise - T1003 - OS Credential Dumping||ATT&CK Enterprise - T1550 - Use Alternate Authentication Material||ATT&CK Enterprise - T1110 - Brute Force||ATT&CK Enterprise - T1566 - Phishing,Elevation of Privilege
Database,Information Disclosure,Created by Rules Engine,Attackers exploit misconfigurations in postgresql settings,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,sohaib  khan,ATT&CK Enterprise - T1578.005 - Modify Cloud Compute Configurations,Information Disclosure
Database,Tampering,Created by Rules Engine,Attackers exploit outdated postgresql vulnerabilities,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,sohaib  khan,ATT&CK Enterprise - T1060 - Registry Run Keys / Startup Folder,Tampering
Database,Information Disclosure,Created by Rules Engine,Attackers exploit sql injection vulnerabilities,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1203 - Exploitation for Client Execution,Information Disclosure
Storage,Elevation of Privilege,Created by Rules Engine,Attackers exploit vulnerabilities in the Secrets Manager API,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,sohaib  khan,ATT&CK Enterprise - T1190 - Exploit Public-Facing Application,Elevation of Privilege
Encryption,Spoofing,Created by Rules Engine,Attackers gain elevated privileges or unauthorized access,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1068 - Exploitation for Privilege Escalation||ATT&CK Enterprise - T1078 - Valid Accounts||ATT&CK Enterprise - T1098 - Account Manipulation||ATT&CK Enterprise - T1110 - Brute Force||ATT&CK Enterprise - T1539 - Steal Web Session Cookie||ATT&CK Enterprise - T1552 - Unsecured Credentials||ATT&CK Enterprise - T1555 - Credentials from Password Stores||ATT&CK Enterprise - T1556 - Modify Authentication Process||ATT&CK Enterprise - T1558.003 - Kerberoasting||ATT&CK Enterprise - T1621 - Multi-Factor Authentication Request Generation,Elevation of Privilege||Spoofing||Tampering
Backend,Spoofing,Created by Rules Engine,Attackers gain elevated privileges or unauthorized access,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1068 - Exploitation for Privilege Escalation||ATT&CK Enterprise - T1078 - Valid Accounts||ATT&CK Enterprise - T1098 - Account Manipulation||ATT&CK Enterprise - T1110 - Brute Force||ATT&CK Enterprise - T1539 - Steal Web Session Cookie||ATT&CK Enterprise - T1552 - Unsecured Credentials||ATT&CK Enterprise - T1555 - Credentials from Password Stores||ATT&CK Enterprise - T1556 - Modify Authentication Process||ATT&CK Enterprise - T1558.003 - Kerberoasting||ATT&CK Enterprise - T1621 - Multi-Factor Authentication Request Generation,Elevation of Privilege||Spoofing||Tampering
Database,Spoofing,Created by Rules Engine,Attackers gain unauthorized access due to weak authentication,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1078 - Valid Accounts,Spoofing
RBAC & Security,Elevation of Privilege,Created by Rules Engine,"Attackers gain unauthorized access or elevated privileges, e.g., via stolen credentials, cookies, or tokens",Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1068 - Exploitation for Privilege Escalation||ATT&CK Enterprise - T1110 - Brute Force||ATT&CK Enterprise - T1190 - Exploit Public-Facing Application||ATT&CK Enterprise - T1583 - Acquire Infrastructure||ATT&CK Enterprise - T1584 - Compromise Infrastructure||ATT&CK Enterprise - TA0043 - Reconnaissance,Elevation of Privilege||Information Disclosure||Spoofing
Encryption,Information Disclosure,Created by Rules Engine,Attackers gather useful information from inadequate Error Handling,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1210 - Exploitation of Remote Services||ATT&CK Enterprise - T1588 - Obtain Capabilities||ATT&CK Enterprise - T1588.002 - Tool||ATT&CK Enterprise - T1589 - Gather Victim Identity Information||ATT&CK Enterprise - T1590 - Gather Victim Network Information||ATT&CK Enterprise - T1591 - Gather Victim Org Information||ATT&CK Enterprise - T1592 - Gather Victim Host Information,Information Disclosure
Backend,Information Disclosure,Created by Rules Engine,Attackers gather useful information from inadequate Error Handling,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1210 - Exploitation of Remote Services||ATT&CK Enterprise - T1588 - Obtain Capabilities||ATT&CK Enterprise - T1588.002 - Tool||ATT&CK Enterprise - T1589 - Gather Victim Identity Information||ATT&CK Enterprise - T1590 - Gather Victim Network Information||ATT&CK Enterprise - T1591 - Gather Victim Org Information||ATT&CK Enterprise - T1592 - Gather Victim Host Information,Information Disclosure
Authentication,Information Disclosure,Created by Rules Engine,Attackers get access to sensitive data,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,sohaib  khan,ATT&CK Enterprise - T1041 - Exfiltration Over C2 Channel||ATT&CK Enterprise - TA0010 - Exfiltration||ATT&CK Enterprise - T1048 - Exfiltration Over Alternative Protocol||ATT&CK Enterprise - T1567 - Exfiltration Over Web Service||ATT&CK Enterprise - T1001 - Data Obfuscation||ATT&CK Enterprise - T1074 - Data Staged,Information Disclosure
RBAC & Security,Tampering,Created by Rules Engine,"Attackers inject malicious content, e.g., SQL queries, to manipulate or access data",Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1059 - Command and Scripting Interpreter||ATT&CK Enterprise - T1068 - Exploitation for Privilege Escalation||ATT&CK Enterprise - T1190 - Exploit Public-Facing Application||ATT&CK Enterprise - T1211 - Exploitation for Defense Evasion,Information Disclosure||Tampering
Database,Information Disclosure,Created by Rules Engine,Attackers intercept data due to unencrypted communications,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1022 - Data Encrypted,Information Disclosure
RBAC & Security,Information Disclosure,Created by Rules Engine,Attackers intercept or eavesdrop on sensitive information during transmission,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1040 - Network Sniffing||ATT&CK Enterprise - T1557 - Adversary-in-the-Middle,Information Disclosure||Tampering
HTML/CSS/JS,Elevation of Privilege,Created by Rules Engine,Attackers may exploit weaknesses in authentication and authorization mechanisms,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1078 - Valid Accounts||ATT&CK Enterprise - T1203 - Exploitation for Client Execution||ATT&CK Enterprise - T1199 - Trusted Relationship||ATT&CK Enterprise - T1110 - Brute Force||ATT&CK Enterprise - T1068 - Exploitation for Privilege Escalation,Elevation of Privilege
Frontend,Elevation of Privilege,Created by Rules Engine,Attackers may exploit weaknesses in authentication and authorization mechanisms,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1078 - Valid Accounts||ATT&CK Enterprise - T1203 - Exploitation for Client Execution||ATT&CK Enterprise - T1199 - Trusted Relationship||ATT&CK Enterprise - T1110 - Brute Force||ATT&CK Enterprise - T1068 - Exploitation for Privilege Escalation,Elevation of Privilege
Encryption,Denial of Service,Created by Rules Engine,Attackers perform a Denial of Service (DoS),Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1486 - Data Encrypted for Impact||ATT&CK Enterprise - T1489 - Service Stop||ATT&CK Enterprise - T1490 - Inhibit System Recovery||ATT&CK Enterprise - T1498 - Network Denial of Service||ATT&CK Enterprise - T1499 - Endpoint Denial of Service,Denial of Service
Backend,Denial of Service,Created by Rules Engine,Attackers perform a Denial of Service (DoS),Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1486 - Data Encrypted for Impact||ATT&CK Enterprise - T1489 - Service Stop||ATT&CK Enterprise - T1490 - Inhibit System Recovery||ATT&CK Enterprise - T1498 - Network Denial of Service||ATT&CK Enterprise - T1499 - Endpoint Denial of Service,Denial of Service
Encryption,Information Disclosure,Created by Rules Engine,Attackers take advantage of insecure communication channels and unprotected sessions,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1185 - Browser Session Hijacking||ATT&CK Enterprise - T1552 - Unsecured Credentials||ATT&CK Enterprise - T1554 - Compromise Client Software Binary||ATT&CK Enterprise - T1557.001 - LLMNR/NBT-NS Poisoning and SMB Relay||ATT&CK Enterprise - T1558.003 - Kerberoasting||ATT&CK Enterprise - T1563.002 - RDP Hijacking,Information Disclosure||Spoofing||Tampering
Backend,Information Disclosure,Created by Rules Engine,Attackers take advantage of insecure communication channels and unprotected sessions,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1185 - Browser Session Hijacking||ATT&CK Enterprise - T1552 - Unsecured Credentials||ATT&CK Enterprise - T1554 - Compromise Client Software Binary||ATT&CK Enterprise - T1557.001 - LLMNR/NBT-NS Poisoning and SMB Relay||ATT&CK Enterprise - T1558.003 - Kerberoasting||ATT&CK Enterprise - T1563.002 - RDP Hijacking,Information Disclosure||Spoofing||Tampering
Encryption,Information Disclosure,Created by Rules Engine,Attackers take advantage of weak encryption of sensitive Data,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1027 - Obfuscated Files or Information||ATT&CK Enterprise - T1078 - Valid Accounts||ATT&CK Enterprise - T1189 - Drive-by Compromise||ATT&CK Enterprise - T1530 - Data from Cloud Storage||ATT&CK Enterprise - T1546.013 - PowerShell Profile||ATT&CK Enterprise - T1552 - Unsecured Credentials||ATT&CK Enterprise - T1555 - Credentials from Password Stores||ATT&CK Enterprise - T1573 - Encrypted Channel||ATT&CK Enterprise - T1606 - Forge Web Credentials,Information Disclosure
Backend,Information Disclosure,Created by Rules Engine,Attackers take advantage of weak encryption of sensitive Data,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1027 - Obfuscated Files or Information||ATT&CK Enterprise - T1078 - Valid Accounts||ATT&CK Enterprise - T1189 - Drive-by Compromise||ATT&CK Enterprise - T1530 - Data from Cloud Storage||ATT&CK Enterprise - T1546.013 - PowerShell Profile||ATT&CK Enterprise - T1552 - Unsecured Credentials||ATT&CK Enterprise - T1555 - Credentials from Password Stores||ATT&CK Enterprise - T1573 - Encrypted Channel||ATT&CK Enterprise - T1606 - Forge Web Credentials,Information Disclosure
Database,Tampering,Created by Rules Engine,Attackers tamper with data due to insecure file permissions,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1222 - File and Directory Permissions Modification,Tampering
RBAC & Security,Denial of Service,Created by Rules Engine,"Attackers use enumeration to discover valid user identifiers, potentially creating a Denial of Service (DoS) condition",Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1498 - Network Denial of Service||ATT&CK Enterprise - T1499 - Endpoint Denial of Service||ATT&CK Enterprise - TA0043 - Reconnaissance,Denial of Service||Information Disclosure
Storage,Information Disclosure,Created by Rules Engine,Compromised systems reuse leaked or old secrets,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1078 - Valid Accounts,Information Disclosure
Encryption,Repudiation,Created by Rules Engine,Lack of evidences of misuse due to insufficient Auditing and Logging and poor log protection,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Medium,Medium,0%,Not tested,Not tested,Medium,sohaib  khan,ATT&CK Enterprise - T1027 - Obfuscated Files or Information||ATT&CK Enterprise - T1070.001 - Clear Windows Event Logs||ATT&CK Enterprise - T1112 - Modify Registry||ATT&CK Enterprise - T1134.001 - Token Impersonation/Theft||ATT&CK Enterprise - T1199 - Trusted Relationship||ATT&CK Enterprise - T1562.001 - Disable or Modify Tools,Repudiation||Tampering
Backend,Repudiation,Created by Rules Engine,Lack of evidences of misuse due to insufficient Auditing and Logging and poor log protection,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Medium,Medium,0%,Not tested,Not tested,Medium,sohaib  khan,ATT&CK Enterprise - T1027 - Obfuscated Files or Information||ATT&CK Enterprise - T1070.001 - Clear Windows Event Logs||ATT&CK Enterprise - T1112 - Modify Registry||ATT&CK Enterprise - T1134.001 - Token Impersonation/Theft||ATT&CK Enterprise - T1199 - Trusted Relationship||ATT&CK Enterprise - T1562.001 - Disable or Modify Tools,Repudiation||Tampering
RBAC & Security,Repudiation,Created by Rules Engine,Lack of evidences of misuse due to insufficient logging,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Medium,Medium,0%,Not tested,Not tested,Medium,sohaib  khan,ATT&CK Enterprise - T1070 - Indicator Removal||ATT&CK Enterprise - T1562 - Impair Defenses,Repudiation
Storage,Information Disclosure,Created by Rules Engine,Overly permissive secrets sharing between services leads to data leakage,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,sohaib  khan,ATT&CK Enterprise - T1530 - Data from Cloud Storage,Information Disclosure
Storage,Information Disclosure,Created by Rules Engine,"Secrets are stored without encryption, leading to potential exposure",Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,sohaib  khan,ATT&CK Enterprise - T1555 - Credentials from Password Stores,Information Disclosure
